index,title,price,rating,stock,category,book_url
0,Modern Romance,Â£28.26,Five,In stock,Add a comment,https://books.toscrape.com/catalogue/modern-romance_820/index.html
1,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Â£10.76,One,In stock,Default,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html
2,Louisa: The Extraordinary Life of Mrs. Adams,Â£16.85,Two,In stock,Biography,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html
3,Little Red,Â£13.47,Three,In stock,Childrens,https://books.toscrape.com/catalogue/little-red_817/index.html
4,Library of Souls (Miss Peregrineâs Peculiar Children #3),Â£48.56,Five,In stock,Young Adult,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
5,Large Print Heart of the Pride,Â£19.15,Two,In stock,Default,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html
6,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Â£57.36,Four,In stock,Womens Fiction,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
7,Hollow City (Miss Peregrineâs Peculiar Children #2),Â£42.98,One,In stock,Fantasy,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html
8,Grumbles,Â£22.16,Two,In stock,Default,https://books.toscrape.com/catalogue/grumbles_812/index.html
9,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,Four,In stock,Travel,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
10,Frostbite (Vampire Academy #2),Â£29.99,Five,In stock,Young Adult,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
11,Follow You Home,Â£21.36,One,In stock,Horror,https://books.toscrape.com/catalogue/follow-you-home_809/index.html
